seqnames	start	end	width	strand	gene_id	Gene
chr19	58345178	58362751	17574	-	1	A1BG
chr8	18391282	18401218	9937	+	10	NAT2
chr20	44619522	44652233	32712	-	100	ADA
chr18	27950966	28177130	226165	-	1000	CDH2
chr11	70072434	70075433	3000	-	100009613	LINC02584
chr10	68010205	68010862	658	-	100009667	POU5F1P5
chr3	101676475	101679217	2743	+	100009676	ZBTB11-AS1
chr14	70581257	70641204	59948	-	10001	MED6
chr15	71792638	71818259	25622	+	10002	NR2E3
chr16	75693893	75701461	7569	-	100033411	DUXB
chr15	25051477	25051571	95	+	100033413	SNORD116-1
chr15	25054210	25065121	10912	+	100033414	SNORD116-2
chr15	25056860	25073201	16342	+	100033415	SNORD116-3
chr15	25059538	25059633	96	+	100033416	SNORD116-4
chr15	25062333	25067882	5550	+	100033417	SNORD116-5
chr15	25070432	25070526	95	+	100033420	SNORD116-8
chr15	25074114	25074215	102	+	100033422	SNORD116-10
chr15	25075929	25076020	92	+	100033423	SNORD116-11
chr15	25077051	25077142	92	+	100033424	SNORD116-12
chr15	25079058	25079149	92	+	100033425	SNORD116-13
chr15	25080142	25080233	92	+	100033426	SNORD116-14
chr15	25081287	25081378	92	+	100033427	SNORD116-15
chr15	25082768	25082859	92	+	100033428	SNORD116-16
chr15	25085385	25085476	92	+	100033430	SNORD116-18
chr15	25087661	25088896	1236	+	100033431	SNORD116-20
chr15	25088804	25088895	92	+	100033432	SNORD116-21
chr15	25089923	25090014	92	+	100033433	SNORD116-22
chr15	25091786	25091877	92	+	100033434	SNORD116-23
chr15	25094037	25094128	92	+	100033435	SNORD116-24
chr15	25097663	25097754	92	+	100033436	SNORD116-25
chr15	25172635	25172716	82	+	100033437	SNORD115-2
chr15	25099499	25099594	96	+	100033438	SNORD116-26
chr15	25101575	25101666	92	+	100033439	SNORD116-27
chr15	25174927	25175008	82	+	100033440	SNORD115-3
chr15	25176832	25176913	82	+	100033441	SNORD115-4
chr15	25178738	25178819	82	+	100033442	SNORD115-5
chr15	25180497	25180578	82	+	100033443	SNORD115-6
chr15	25182385	25182466	82	+	100033444	SNORD115-7
chr15	25184306	25184387	82	+	100033445	SNORD115-8
chr15	25185631	25191497	5867	+	100033446	SNORD115-9
chr15	25187536	25247426	59891	+	100033447	SNORD115-10
chr15	25189414	25249279	59866	+	100033448	SNORD115-11
chr15	25193321	25193402	82	+	100033450	SNORD115-13
chr15	25194921	25195001	81	+	100033451	SNORD115-14
chr15	25197576	25197656	81	+	100033453	SNORD115-15
chr15	25199448	25199529	82	+	100033454	SNORD115-16
chr15	25201323	25204438	3116	+	100033455	SNORD115-17
chr15	25206262	25206343	82	+	100033460	SNORD115-20
chr15	25243614	25243695	82	+	100033603	SNORD115-21
chr15	25209918	25209999	82	+	100033799	SNORD115-22
chr15	25211796	25211877	82	+	100033800	SNORD115-23
chr15	25215541	25215622	82	+	100033801	SNORD115-25
chr15	25218617	25218698	82	+	100033802	SNORD115-26
chr15	25225203	25225284	82	+	100033804	SNORD115-30
chr15	25227109	25227190	82	+	100033805	SNORD115-31
chr15	25228967	25229048	82	+	100033806	SNORD115-32
chr15	25230838	25230919	82	+	100033807	SNORD115-33
chr15	25232387	25232468	82	+	100033808	SNORD115-34
chr15	25234247	25234328	82	+	100033809	SNORD115-35
chr15	25237986	25238067	82	+	100033811	SNORD115-37
chr15	25239838	25239919	82	+	100033812	SNORD115-38
chr15	25241746	25241827	82	+	100033813	SNORD115-39
chr15	25245478	25245559	82	+	100033815	SNORD115-41
chr15	25250859	25250940	82	+	100033818	SNORD115-44
chr11	1996759	1996831	73	-	100033819	MIR675
chr15	25104642	25104732	91	+	100033820	SNORD116-28
chr15	25106521	25106603	83	+	100033821	SNORD116-29
chr15	25269783	25269858	76	+	100033822	SNORD115-48
chr1	147993862	148014956	21095	-	100034743	PDZK1P1
chr15	25213648	25213729	82	+	100036563	SNORD115-24
chr15	25220497	25220578	82	+	100036564	SNORD115-27
chr15	25222348	25222428	81	+	100036565	SNORD115-28
chr15	25264510	25264590	81	+	100036566	SNORD115-45
chr15	25268466	25268551	86	+	100036567	SNORD115-47
chr10	101089321	101131126	41806	-	100038246	TLX1NB
chr11	65044818	65058553	13736	-	10004	NAALADL1
chr9	21994139	22128103	133965	+	100048912	CDKN2B-AS1
chr19	51642553	51646801	4249	-	100049587	SIGLEC14
chr12	630858	664196	33339	+	100049716	NINJ2-AS1
chr20	45841721	45857405	15685	-	10005	ACOT8
chr10	26746593	26861087	114495	-	10006	ABI1
chr5	141991749	142013041	21293	-	10007	GNPDA1
chr19	56840866	56848556	7691	+	100073347	MIMT1
chr11	74454841	74467729	12889	-	10008	KCNE3
chrX	120250752	120258398	7647	+	10009	ZBTB33
chr4	118278709	118285316	6608	+	100093630	SNHG8
chrX	13310652	13319933	9282	+	100093698	GS1-600G8.3
chr16	68644993	68722616	77624	+	1001	CDH3
chr2	161136908	161236230	99323	+	10010	TANK
chr19	24162370	24163425	1056	-	100101266	HAVCR1P1
chr7	75416786	75486299	69514	-	100101267	POM121C
chr18	35251058	35290245	39188	-	100101467	ZSCAN30
chr13	19262797	19344825	82029	-	100101938	ANKRD26P3
chr5	140537340	140558252	20913	-	10011	SRA1
chr9	33952769	33952850	82	-	100113379	SNORD121A
chr22	29333158	29333267	110	-	100113380	SNORD125
chr3	52690744	52690827	84	+	100113381	SNORD19B
chr19	10109757	10109835	79	+	100113382	SNORD105B
chr5	9548836	9548905	70	+	100113384	SNORD123
chr20	63953384	63956985	3602	+	100113386	UCKL1-AS1
chr14	45110883	45110968	86	+	100113389	SNORD127
chr14	20326450	20326526	77	-	100113391	SNORD126
chr2	202291332	202291421	90	+	100113392	SNORD11B
chr20	49280319	49280409	91	+	100113393	SNORD12B
chr16	70529509	70529588	80	+	100113402	SNORD111B
chr6	104864464	104941447	76984	-	100113403	LIN28B-AS1
chr9	13927971	13945610	17640	+	100113404	LINC00583
chr6	11537749	11583524	45776	+	100113407	TMEM170B
chr15	101954885	101956412	1528	+	100124412	FAM138E
chr18	49489245	49489308	64	-	100124516	SNORD58C
